,timestamp,rain,temperature,oil_price,subtotal,transaction_count
94,2023-01-18 14:00:00,0.0,3.2,84.98,2122.47,43
95,2023-01-18 15:00:00,0.0,3.7,84.98,969.91,29
96,2023-01-18 16:00:00,0.0,3.1,84.98,1629.13,37
97,2023-01-18 17:00:00,0.0,2.1,84.98,2186.83,44
98,2023-01-18 18:00:00,0.0,1.5,84.98,625.02,8
99,2023-01-19 10:00:00,0.0,0.9,86.16,554.53,17
100,2023-01-19 11:00:00,0.0,1.7,86.16,1511.36,35
101,2023-01-19 12:00:00,0.0,2.7,86.16,1597.76,33
102,2023-01-19 13:00:00,0.0,3.4,86.16,2531.50,63
103,2023-01-19 14:00:00,0.0,4.0,86.16,1776.89,42
104,2023-01-19 15:00:00,0.0,4.0,86.16,1535.01,40
105,2023-01-19 16:00:00,0.0,3.1,86.16,1746.13,40
106,2023-01-19 17:00:00,0.0,1.3,86.16,1414.25,40
107,2023-01-19 18:00:00,0.0,0.6,86.16,169.05,8
108,2023-01-20 10:00:00,0.0,-0.4,87.63,608.61,19
109,2023-01-20 11:00:00,0.0,2.9,87.63,1353.66,28
110,2023-01-20 12:00:00,0.0,5.1,87.63,3221.27,71
111,2023-01-20 13:00:00,0.0,6.2,87.63,1637.70,55
112,2023-01-20 14:00:00,0.0,6.6,87.63,2145.08,54
113,2023-01-20 15:00:00,0.0,6.7,87.63,2244.85,46
114,2023-01-20 16:00:00,0.0,5.7,87.63,2537.68,41
115,2023-01-20 17:00:00,0.0,4.4,87.63,1597.62,36
116,2023-01-20 18:00:00,0.0,4.8,87.63,249.45,7
117,2023-01-21 10:00:00,0.0,6.6,88.19,689.82,22
118,2023-01-21 11:00:00,0.0,7.1,88.19,1022.32,37
119,2023-01-21 12:00:00,0.0,7.4,88.19,1702.87,47
120,2023-01-21 13:00:00,0.0,7.4,88.19,1723.77,64
121,2023-01-21 14:00:00,0.0,7.0,88.19,1562.98,61
122,2023-01-21 15:00:00,0.0,7.0,88.19,2948.24,79
123,2023-01-21 16:00:00,0.0,7.0,88.19,3175.58,63
124,2023-01-21 17:00:00,0.0,6.7,88.19,1926.20,42
125,2023-01-21 18:00:00,0.0,6.7,88.19,182.92,3
126,2023-01-22 10:00:00,0.0,9.2,88.19,0,0
127,2023-01-22 11:00:00,0.0,10.2,88.19,1077.59,28
128,2023-01-22 12:00:00,0.0,10.6,88.19,1052.38,44
129,2023-01-22 13:00:00,0.0,9.8,88.19,2013.58,50
130,2023-01-22 14:00:00,0.0,10.1,88.19,2045.34,64
131,2023-01-22 15:00:00,0.0,10.6,88.19,1689.63,60
132,2023-01-22 16:00:00,0.0,10.5,88.19,1871.52,40
133,2023-01-22 17:00:00,0.0,8.9,88.19,846.85,23
134,2023-01-22 18:00:00,0.0,8.5,88.19,36.4,2
135,2023-01-23 10:00:00,0.0,9.4,88.19,107.75,5
136,2023-01-23 11:00:00,0.0,10.6,88.19,1254.76,23
137,2023-01-23 12:00:00,0.0,11.1,88.19,1345.92,33
138,2023-01-23 13:00:00,0.0,11.7,88.19,1473.22,43
139,2023-01-23 14:00:00,0.0,11.1,88.19,1131.38,28
140,2023-01-23 15:00:00,0.0,9.7,88.19,1554.52,34
141,2023-01-23 16:00:00,0.0,9.6,88.19,1275.01,25
142,2023-01-23 17:00:00,0.0,9.3,88.19,1088.05,32
143,2023-01-23 18:00:00,0.0,8.8,88.19,181,3
144,2023-01-24 10:00:00,0.0,8.9,86.13,630.13,20
145,2023-01-24 11:00:00,0.0,10.1,86.13,1427.89,33
146,2023-01-24 12:00:00,0.0,9.9,86.13,1591.48,44
147,2023-01-24 13:00:00,0.0,10.0,86.13,2927.26,58
148,2023-01-24 14:00:00,0.0,10.1,86.13,2380.72,49
149,2023-01-24 15:00:00,0.0,10.6,86.13,940.31,33
150,2023-01-24 16:00:00,0.0,9.6,86.13,1093.82,27
151,2023-01-24 17:00:00,0.0,9.3,86.13,931.2,24
152,2023-01-24 18:00:00,0.0,9.4,86.13,307.02,4
153,2023-01-25 10:00:00,0.0,8.7,86.12,750.58,14
154,2023-01-25 11:00:00,0.1,9.3,86.12,578.11,18
155,2023-01-25 12:00:00,0.2,9.2,86.12,1381.61,33
156,2023-01-25 13:00:00,0.0,8.9,86.12,2455.93,43
157,2023-01-25 14:00:00,0.0,8.9,86.12,953.31,34
158,2023-01-25 15:00:00,0.0,9.1,86.12,1437.64,34
159,2023-01-25 16:00:00,0.0,7.6,86.12,1874.32,24
160,2023-01-25 17:00:00,0.0,5.2,86.12,776.08,23
161,2023-01-25 18:00:00,0.0,4.5,86.12,343.15,2
162,2023-01-26 10:00:00,0.0,4.7,87.47,311.15,5
163,2023-01-26 11:00:00,0.0,5.7,87.47,927.60,25
164,2023-01-26 12:00:00,0.0,6.2,87.47,1144.28,35
165,2023-01-26 13:00:00,0.0,7.3,87.47,1304.86,36
166,2023-01-26 14:00:00,0.0,7.8,87.47,1984.44,31
167,2023-01-26 15:00:00,0.0,7.6,87.47,1047.93,23
168,2023-01-26 16:00:00,0.0,6.3,87.47,1045.83,24
169,2023-01-26 17:00:00,0.0,6.4,87.47,1436.63,30
170,2023-01-26 18:00:00,0.0,6.1,87.47,317.65,5
171,2023-01-27 10:00:00,0.0,4.0,86.66,214.65,8
172,2023-01-27 11:00:00,0.0,4.4,86.66,1209.09,31
173,2023-01-27 12:00:00,0.0,5.1,86.66,2032.38,45
174,2023-01-27 13:00:00,0.0,6.4,86.66,2638.59,44
175,2023-01-27 14:00:00,0.0,7.0,86.66,2031.99,41
176,2023-01-27 15:00:00,0.0,6.4,86.66,898.24,19
177,2023-01-27 16:00:00,0.0,5.7,86.66,3028.25,35
178,2023-01-27 17:00:00,0.0,4.4,86.66,1463.07,30
179,2023-01-27 18:00:00,0.0,3.5,86.66,266.35,4
180,2023-01-28 10:00:00,0.0,5.3,84.9,1558.39,28
181,2023-01-28 11:00:00,0.0,5.7,84.9,1283.29,28
182,2023-01-28 12:00:00,0.0,6.1,84.9,1962.05,42
183,2023-01-28 13:00:00,0.0,6.2,84.9,2207.09,53
184,2023-01-28 14:00:00,0.0,6.1,84.9,2091.01,44
185,2023-01-28 15:00:00,0.0,6.1,84.9,2282.86,46
186,2023-01-28 16:00:00,0.0,5.9,84.9,2699.21,46
187,2023-01-28 17:00:00,0.0,5.8,84.9,1098.95,27
188,2023-01-28 18:00:00,0.0,5.8,84.9,22.5,1
189,2023-01-29 10:00:00,0.0,5.8,84.9,0,0
190,2023-01-29 11:00:00,0.0,6.1,84.9,675.60,22
191,2023-01-29 12:00:00,0.0,6.7,84.9,1575.03,34
192,2023-01-29 13:00:00,0.0,8.1,84.9,1427.48,54
193,2023-01-29 14:00:00,0.0,9.4,84.9,2127.30,52
194,2023-01-29 15:00:00,0.0,9.8,84.9,1604.41,27
195,2023-01-29 16:00:00,0.0,9.9,84.9,1555.30,36
196,2023-01-29 17:00:00,0.0,9.8,84.9,805.06,21
197,2023-01-29 18:00:00,0.0,9.7,84.9,75.70,2
198,2023-01-30 10:00:00,0.0,4.9,84.9,606.03,16
199,2023-01-30 11:00:00,0.0,5.5,84.9,576.73,15
