,timestamp,rain,temperature
326,2023-01-20 14:00:00,0.0,6.6
327,2023-01-20 15:00:00,0.0,6.7
328,2023-01-20 16:00:00,0.0,5.7
329,2023-01-20 17:00:00,0.0,4.4
330,2023-01-20 18:00:00,0.0,4.8
346,2023-01-21 10:00:00,0.0,6.6
347,2023-01-21 11:00:00,0.0,7.1
348,2023-01-21 12:00:00,0.0,7.4
349,2023-01-21 13:00:00,0.0,7.4
350,2023-01-21 14:00:00,0.0,7.0
351,2023-01-21 15:00:00,0.0,7.0
352,2023-01-21 16:00:00,0.0,7.0
353,2023-01-21 17:00:00,0.0,6.7
354,2023-01-21 18:00:00,0.0,6.7
370,2023-01-22 10:00:00,0.0,9.2
371,2023-01-22 11:00:00,0.0,10.2
372,2023-01-22 12:00:00,0.0,10.6
373,2023-01-22 13:00:00,0.0,9.8
374,2023-01-22 14:00:00,0.0,10.1
375,2023-01-22 15:00:00,0.0,10.6
376,2023-01-22 16:00:00,0.0,10.5
377,2023-01-22 17:00:00,0.0,8.9
378,2023-01-22 18:00:00,0.0,8.5
394,2023-01-23 10:00:00,0.0,9.4
395,2023-01-23 11:00:00,0.0,10.6
396,2023-01-23 12:00:00,0.0,11.1
397,2023-01-23 13:00:00,0.0,11.7
398,2023-01-23 14:00:00,0.0,11.1
399,2023-01-23 15:00:00,0.0,9.7
400,2023-01-23 16:00:00,0.0,9.6
401,2023-01-23 17:00:00,0.0,9.3
402,2023-01-23 18:00:00,0.0,8.8
418,2023-01-24 10:00:00,0.0,8.9
419,2023-01-24 11:00:00,0.0,10.1
420,2023-01-24 12:00:00,0.0,9.9
421,2023-01-24 13:00:00,0.0,10.0
422,2023-01-24 14:00:00,0.0,10.1
423,2023-01-24 15:00:00,0.0,10.6
424,2023-01-24 16:00:00,0.0,9.6
425,2023-01-24 17:00:00,0.0,9.3
426,2023-01-24 18:00:00,0.0,9.4
442,2023-01-25 10:00:00,0.0,8.7
443,2023-01-25 11:00:00,0.1,9.3
444,2023-01-25 12:00:00,0.2,9.2
445,2023-01-25 13:00:00,0.0,8.9
446,2023-01-25 14:00:00,0.0,8.9
447,2023-01-25 15:00:00,0.0,9.1
448,2023-01-25 16:00:00,0.0,7.6
449,2023-01-25 17:00:00,0.0,5.2
450,2023-01-25 18:00:00,0.0,4.5
466,2023-01-26 10:00:00,0.0,4.7
467,2023-01-26 11:00:00,0.0,5.7
468,2023-01-26 12:00:00,0.0,6.2
469,2023-01-26 13:00:00,0.0,7.3
470,2023-01-26 14:00:00,0.0,7.8
471,2023-01-26 15:00:00,0.0,7.6
472,2023-01-26 16:00:00,0.0,6.3
473,2023-01-26 17:00:00,0.0,6.4
474,2023-01-26 18:00:00,0.0,6.1
490,2023-01-27 10:00:00,0.0,4.0
491,2023-01-27 11:00:00,0.0,4.4
492,2023-01-27 12:00:00,0.0,5.1
493,2023-01-27 13:00:00,0.0,6.4
494,2023-01-27 14:00:00,0.0,7.0
495,2023-01-27 15:00:00,0.0,6.4
496,2023-01-27 16:00:00,0.0,5.7
497,2023-01-27 17:00:00,0.0,4.4
498,2023-01-27 18:00:00,0.0,3.5
514,2023-01-28 10:00:00,0.0,5.3
515,2023-01-28 11:00:00,0.0,5.7
516,2023-01-28 12:00:00,0.0,6.1
517,2023-01-28 13:00:00,0.0,6.2
