timestamp,temperature,rain
2023-01-21 16:00:00,7.0,0.0
2023-01-21 17:00:00,6.7,0.0
2023-01-21 18:00:00,6.7,0.0
2023-01-22 10:00:00,9.2,0.0
2023-01-22 11:00:00,10.2,0.0
2023-01-22 12:00:00,10.6,0.0
2023-01-22 13:00:00,9.8,0.0
2023-01-22 14:00:00,10.1,0.0
2023-01-22 15:00:00,10.6,0.0
2023-01-22 16:00:00,10.5,0.0
2023-01-22 17:00:00,8.9,0.0
2023-01-22 18:00:00,8.5,0.0
2023-01-23 10:00:00,9.4,0.0
2023-01-23 11:00:00,10.6,0.0
2023-01-23 12:00:00,11.1,0.0
2023-01-23 13:00:00,11.7,0.0
2023-01-23 14:00:00,11.1,0.0
2023-01-23 15:00:00,9.7,0.0
2023-01-23 16:00:00,9.6,0.0
2023-01-23 17:00:00,9.3,0.0
2023-01-23 18:00:00,8.8,0.0
2023-01-24 10:00:00,8.9,0.0
2023-01-24 11:00:00,10.1,0.0
2023-01-24 12:00:00,9.9,0.0
2023-01-24 13:00:00,10.0,0.0
2023-01-24 14:00:00,10.1,0.0
2023-01-24 15:00:00,10.6,0.0
2023-01-24 16:00:00,9.6,0.0
2023-01-24 17:00:00,9.3,0.0
2023-01-24 18:00:00,9.4,0.0
2023-01-25 10:00:00,8.7,0.0
2023-01-25 11:00:00,9.3,0.1
2023-01-25 12:00:00,9.2,0.2
2023-01-25 13:00:00,8.9,0.0
2023-01-25 14:00:00,8.9,0.0
2023-01-25 15:00:00,9.1,0.0
2023-01-25 16:00:00,7.6,0.0
2023-01-25 17:00:00,5.2,0.0
2023-01-25 18:00:00,4.5,0.0
2023-01-26 10:00:00,4.7,0.0
2023-01-26 11:00:00,5.7,0.0
2023-01-26 12:00:00,6.2,0.0
2023-01-26 13:00:00,7.3,0.0
2023-01-26 14:00:00,7.8,0.0
2023-01-26 15:00:00,7.6,0.0
2023-01-26 16:00:00,6.3,0.0
2023-01-26 17:00:00,6.4,0.0
2023-01-26 18:00:00,6.1,0.0
2023-01-27 10:00:00,4.0,0.0
2023-01-27 11:00:00,4.4,0.0
2023-01-27 12:00:00,5.1,0.0
2023-01-27 13:00:00,6.4,0.0
2023-01-27 14:00:00,7.0,0.0
2023-01-27 15:00:00,6.4,0.0
2023-01-27 16:00:00,5.7,0.0
2023-01-27 17:00:00,4.4,0.0
2023-01-27 18:00:00,3.5,0.0
2023-01-28 10:00:00,5.3,0.0
2023-01-28 11:00:00,5.7,0.0
2023-01-28 12:00:00,6.1,0.0
2023-01-28 13:00:00,6.2,0.0
2023-01-28 14:00:00,6.1,0.0
2023-01-28 15:00:00,6.1,0.0
2023-01-28 16:00:00,5.9,0.0
2023-01-28 17:00:00,5.8,0.0
2023-01-28 18:00:00,5.8,0.0
2023-01-29 10:00:00,5.8,0.0
2023-01-29 11:00:00,6.1,0.0
2023-01-29 12:00:00,6.7,0.0
2023-01-29 13:00:00,8.1,0.0
2023-01-29 14:00:00,9.4,0.0
2023-01-29 15:00:00,9.8,0.0
2023-01-29 16:00:00,9.9,0.0
2023-01-29 17:00:00,9.8,0.0
2023-01-29 18:00:00,9.7,0.0
2023-01-30 10:00:00,4.9,0.0
